Statistic,Restricted (primary),Full (robustness),Benchmark
N,130,772,
N excluded (0 -> positive),76,76,
N zero-to-zero,(excluded),642,
Minimum,-1.0000,-1.0000,
Maximum,11.0000,11.0000,
Mean,-0.3863,-0.0651,
Median,-1.0000,0.0000,
Standard Deviation,1.4008,0.5910,
Skewness,5.0857,9.6239,0 for symmetric
Proportion zeros,0.146,0.856,
Proportion -1,0.577,0.097,
Raw Kurtosis (benchmark=3),37.9179,170.2610,3 (normal)
Excess Kurtosis (benchmark=0),34.9179,167.2610,0 (normal)
"L-kurtosis (tau_4, benchmark=0.123)",0.3721,0.6463,0.1226 (normal)
Shapiro-Wilk W,0.465710,0.299039,
Shapiro-Wilk p-value,9.6292e-20,5.5720e-47,< 0.05 rejects normality
t-fit: mu (SE),-1.0000 (NA),0.0000 (NA),
t-fit: sigma (SE),0.0000 (NA),0.0000 (NA),
t-fit: sigma^2,0.000000,0.000000,
t-fit: nu (SE),1.0100 (NA),1.0100 (NA),
t-fit: Theo. variance,Inf,Inf,
t-fit: AIC,-248.05,-13419.59,
t-fit: Note,"converged; jittered: sigma=0.0015, nu=1.01","converged; jittered: sigma=0.0005, nu=1.01",
