Category,Area_Code,Area_Name,Total_Count,Active_Years,Prop_Active,Longest_Gap,Mean_Annual,Variance,N_Pct_Valid,Within_Kurtosis
Core,15,Intra-ASEAN Trade,107,34,0.6296296296296297,10,1.9814814814814814,5.565688329839273,47,6.587596267147362
Core,20,ASEAN Governance,39,29,0.5370370370370371,6,0.7222222222222222,0.8081761006289309,39,15.941796997856594
Core,10,Transportation,35,16,0.2962962962962963,18,0.6481481481481481,3.0625436757512228,46,43.224073741518865
Peripheral,4,Agriculture,11,10,0.18518518518518517,12,0.2037037037037037,0.20300489168413696,44,3.31392069022731
Peripheral,3,Health,8,6,0.1111111111111111,33,0.14814814814814814,0.24178895877009085,47,6.462182803646219
Peripheral,8,Energy,8,7,0.12962962962962962,19,0.14814814814814814,0.1663172606568833,47,6.462182803646219
Peripheral,1,Macroeconomics,7,7,0.12962962962962962,30,0.12962962962962962,0.11495457721872816,46,5.099993030225587
Peripheral,12,Law & Crime,6,5,0.09259259259259259,37,0.1111111111111111,0.13836477987421383,48,8.383377148634985
Peripheral,19,International Affairs,6,2,0.037037037037037035,30,0.1111111111111111,0.4779874213836478,51,25.834235735110372
Peripheral,17,Technology,4,4,0.07407407407407407,33,0.07407407407407407,0.06988120195667366,51,25.834235735110372
Peripheral,7,Environment,3,3,0.05555555555555555,18,0.05555555555555555,0.05345911949685535,50,16.12433982194054
Peripheral,16,Defense,3,3,0.05555555555555555,25,0.05555555555555555,0.05345911949685535,50,16.12433982194054
Peripheral,6,Education,2,1,0.018518518518518517,28,0.037037037037037035,0.07407407407407407,52,55
Peripheral,9,Immigration,2,2,0.037037037037037035,39,0.037037037037037035,0.0363382250174703,51,25.834235735110372
Peripheral,23,Culture,2,2,0.037037037037037035,42,0.037037037037037035,0.0363382250174703,51,25.834235735110372
Peripheral,21,Public Lands,1,1,0.018518518518518517,38,0.018518518518518517,0.018518518518518517,52,55
