Metric,Aggregate,Core,Peripheral
N,772,132,640
Mean,-0.0651,-0.0093,-0.0766
SD,0.5910,1.3062,0.2661
Skewness,9.6239,5.3206,-3.1925
Raw Kurtosis (benchmark=3),170.2610,42.4905,11.2176
"L-kurtosis (tau_4, benchmark=0.123)",0.6463,0.4199,0.6516
Shapiro-Wilk W,0.299039,0.503274,0.292318
Shapiro-Wilk p,5.5720e-47,3.0612e-19,7.1496e-44
t-fit: mu (SE),0.000000 (NA),0.000000 (NA),0.000000 (NA)
t-fit: sigma (SE),0.000001 (NA),0.000001 (NA),0.000001 (NA)
t-fit: sigma^2,0.000000,0.000000,0.000000
t-fit: nu (SE),1.0100 (NA),1.0164 (NA),1.0100 (NA)
t-fit: Theo. variance,Inf,Inf,Inf
t-fit: AIC,-13419.59,90.78,-13494.65
t-fit: Note,"converged; jittered: sigma=0.0005, nu=1.01","converged; jittered: sigma=0.0023, nu=1.01","converged; jittered: sigma=0.0005, nu=1.01"
