year,area_1,area_3,area_4,area_6,area_7,area_8,area_9,area_10,area_12,area_15,area_16,area_17,area_19,area_20,area_21,area_23,total
1967,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
1977,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1979,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1980,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
1981,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
1982,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1983,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3
1986,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3
1987,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,6
1988,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
1992,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,4
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1995,0,0,0,2,0,1,0,0,0,7,1,0,0,0,0,0,11
1996,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,4
1997,1,0,0,0,1,0,0,0,0,1,0,0,5,5,0,0,13
1998,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,8
1999,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,4
2000,1,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,6
2001,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,4
2002,0,0,0,0,1,1,0,2,0,2,0,1,0,0,0,0,7
2003,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
2004,0,1,2,0,0,0,0,1,1,12,0,1,0,0,0,0,18
2005,1,0,0,0,0,0,0,1,0,6,0,0,0,2,1,0,11
2006,0,1,0,0,0,0,1,0,0,4,0,0,0,1,0,0,7
2007,1,0,1,0,0,1,0,2,1,5,0,0,0,2,0,0,13
2008,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
2009,1,3,1,0,0,1,0,12,0,5,0,0,0,1,0,0,24
2010,0,0,1,0,0,0,0,3,2,3,0,0,1,1,0,0,11
2011,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,5
2012,0,0,0,0,0,0,1,0,1,2,0,0,0,2,0,0,6
2013,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,4
2014,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,5
2015,1,0,0,0,0,0,0,1,1,4,0,0,0,2,0,0,9
2016,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
2017,1,1,0,0,0,0,0,2,0,4,0,0,0,0,0,0,8
2018,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,4
2019,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,6
2020,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3
